case_id,category,full_case,your_verdict,your_reason,time_seconds
adv_negation_trap_17,negation_trap,"SETUP_FACTS:
  - User does NOT own a car and hasn't driven in years.
  - User prefers to travel by bicycle.
MUTATIONS:
  - ('supersede', 'user car ownership', 'User recently purchased a Tesla Model 3.')
FINAL_QUERY: Does the user own a car?
MUST_CONTAIN: ['Tesla Model 3']
MUST_NOT_CONTAIN: ['does NOT own a car', ""hasn't driven in years""]",,,
adv_negation_trap_05,negation_trap,"SETUP_FACTS:
  - User does not speak French at all.
  - User speaks Spanish at a conversational level.
MUTATIONS:
  - ('release', 'user French language status')
FINAL_QUERY: What languages does the user speak?
MUST_CONTAIN: ['Spanish']
MUST_NOT_CONTAIN: ['does not speak French']",,,
adv_negation_trap_34,negation_trap,"SETUP_FACTS:
  - User never eats spicy food due to medical reasons.
  - User enjoys Italian cuisine.
MUTATIONS:
  - ('release', 'user never eats spicy food')
FINAL_QUERY: What are the user's food preferences?
MUST_CONTAIN: ['Italian cuisine']
MUST_NOT_CONTAIN: ['never eats spicy food', 'medical reasons']",,,
adv_prefix_collision_40,prefix_collision,"SETUP_FACTS:
  - Device MAC address 00:1A:2B:3C:4D was last seen at 10:00 AM.
  - Device MAC address 00:1A:2B:3C:4D:5E was last seen at 11:30 AM.
  - Network maintenance is scheduled for midnight.
MUTATIONS:
  - ('purge', 'MAC address 00:1A:2B:3C:4D')
FINAL_QUERY: When was 00:1A:2B:3C:4D:5E last active?
MUST_CONTAIN: ['00:1A:2B:3C:4D:5E was last seen at 11:30 AM']
MUST_NOT_CONTAIN: ['00:1A:2B:3C:4D was last seen']",,,
adv_cross_lingual_identifier_14,cross_lingual_identifier,"SETUP_FACTS:
  - Engineer Nguyễn Văn Hùng filed a security report.
  - Same engineer Nguyen Van Hung (no diacritics) was promoted last cycle.
  - Quarterly OKR review is next Monday.
MUTATIONS:
  - ('purge', 'Nguyen Van Hung / Nguyễn Văn Hùng record')
FINAL_QUERY: Was Nguyen Van Hung promoted?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['Nguyễn Văn Hùng filed', 'Nguyen Van Hung (no diacritics) was']",,,
adv_substring_trap_34,substring_trap,"SETUP_FACTS:
  - Jenny's employee ID is 'apple456'.
  - The break room has fresh apples every morning.
  - Fire drill scheduled for next Wednesday.
  - New project codename is 'Horizon'.
MUTATIONS:
  - ('release', ""Jenny's employee details"")
FINAL_QUERY: What employee IDs do we have on record?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['apple456', ""Jenny's employee""]",,,
adv_shared_attribute_04,shared_attribute,"SETUP_FACTS:
  - Hannah and Ivan share the 4th floor office near the elevator.
  - Hannah leads the backend team.
  - Ivan leads the design team.
  - Judy works remotely from Madrid.
MUTATIONS:
  - ('release', 'everything about Hannah on the team')
FINAL_QUERY: Who works on the 4th floor?
MUST_CONTAIN: ['Ivan']
MUST_NOT_CONTAIN: ['Hannah and Ivan share']",,,
adv_temporal_qualifier_26,temporal_qualifier,"SETUP_FACTS:
  - Charlie owned a Tesla Model 3 since January 2020.
  - Charlie plays guitar in a local band.
MUTATIONS:
  - ('supersede', 'Charlie car Tesla Model 3', 'Charlie switched to a Rivian R1T in March 2023.')
FINAL_QUERY: What car does Charlie drive now?
MUST_CONTAIN: ['Rivian R1T', 'March 2023']
MUST_NOT_CONTAIN: ['Tesla Model 3']",,,
adv_substring_trap_21,substring_trap,"SETUP_FACTS:
  - Jordan plays point guard for the Chicago Bulls.
  - Jordan likes to eat at that new Italian restaurant.
  - The company sponsored a basketball game at Jordan arena.
  - The IT department upgraded all workstations.
MUTATIONS:
  - ('release', 'information about Jordan the basketball player')
FINAL_QUERY: What athletic information do we have?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['Chicago Bulls', 'point guard']",,,
adv_compound_fact_07,compound_fact,"SETUP_FACTS:
  - Customer is on the Enterprise plan and pays via wire transfer.
  - Customer's account is in good standing.
MUTATIONS:
  - ('supersede', 'customer payment method wire transfer', 'Customer updated payment method to credit card on file.')
FINAL_QUERY: What plan is the customer on?
MUST_CONTAIN: ['Enterprise']
MUST_NOT_CONTAIN: ['pays via wire transfer']",,,
adv_negation_trap_02,negation_trap,"SETUP_FACTS:
  - User does not drink coffee under any circumstances.
  - User drinks green tea every afternoon.
MUTATIONS:
  - ('release', 'user does not drink coffee')
FINAL_QUERY: What does the user drink?
MUST_CONTAIN: ['green tea']
MUST_NOT_CONTAIN: ['does not drink coffee']",,,
adv_shared_attribute_39,shared_attribute,"SETUP_FACTS:
  - Microsoft Azure offers Kubernetes and CosmosDB.
  - Google Cloud offers Kubernetes and BigQuery.
  - AWS offers Lambda.
MUTATIONS:
  - ('release', 'everything about Microsoft Azure')
FINAL_QUERY: Which clouds offer Kubernetes?
MUST_CONTAIN: ['Google Cloud']
MUST_NOT_CONTAIN: ['Microsoft Azure offers Kubernetes']",,,
adv_cross_lingual_identifier_38,cross_lingual_identifier,"SETUP_FACTS:
  - Patient מרים כהן was discharged yesterday.
  - Same patient as Miriam Cohen has a follow-up in 2 weeks.
  - Hospital cafeteria has new menu items.
MUTATIONS:
  - ('purge', 'patient Miriam Cohen (מרים כהן)')
FINAL_QUERY: When is Miriam Cohen's next appointment?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['מרים כהן was discharged', 'Miriam Cohen has']",,,
adv_negation_trap_31,negation_trap,"SETUP_FACTS:
  - User has never visited Asia despite many opportunities.
  - User frequently travels to Europe for work.
MUTATIONS:
  - ('supersede', 'user Asia travel history', 'User spent two months backpacking across Southeast Asia last year.')
FINAL_QUERY: Has the user visited Asia?
MUST_CONTAIN: ['Southeast Asia', 'backpacking']
MUST_NOT_CONTAIN: ['never visited Asia', 'despite many opportunities']",,,
adv_prefix_collision_23,prefix_collision,"SETUP_FACTS:
  - License plate ABC123 is registered to Alice.
  - License plate ABC1234 is registered to Bob.
  - The DMV will be closed on Monday.
MUTATIONS:
  - ('purge', 'ABC123')
FINAL_QUERY: Who owns license plate ABC1234?
MUST_CONTAIN: ['Bob']
MUST_NOT_CONTAIN: ['ABC123', 'Alice']",,,
adv_cross_lingual_identifier_39,cross_lingual_identifier,"SETUP_FACTS:
  - Subscriber Müller 💻 renewed premium plan.
  - Same subscriber as Mueller has payment issue.
  - Server maintenance scheduled for Friday.
MUTATIONS:
  - ('purge', 'subscriber Mueller / Müller')
FINAL_QUERY: What's Mueller's subscription status?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['Müller 💻 renewed', 'Mueller has']",,,
adv_cross_lingual_identifier_03,cross_lingual_identifier,"SETUP_FACTS:
  - User 김민지 logged in from Seoul.
  - Same user as Kim Minji has 2FA enabled.
  - Office cafeteria is closed on Sundays.
MUTATIONS:
  - ('purge', 'Kim Minji 김민지 account')
FINAL_QUERY: Show me Kim Minji's login activity.
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['김민지 logged', 'Kim Minji has']",,,
